year,cod,asdr
1960,Heart Disease,559
1961,Heart Disease,545.3
1962,Heart Disease,556.9
1963,Heart Disease,563.4
1964,Heart Disease,543.3
1965,Heart Disease,542.5
1966,Heart Disease,541.2
1967,Heart Disease,524.7
1968,Heart Disease,531
1969,Heart Disease,516.8
1970,Heart Disease,492.7
1971,Heart Disease,492.9
1972,Heart Disease,490.2
1973,Heart Disease,482
1974,Heart Disease,458.8
1975,Heart Disease,431.2
1976,Heart Disease,426.9
1977,Heart Disease,413.7
1978,Heart Disease,409.9
1979,Heart Disease,401.6
1980,Heart Disease,412.1
1981,Heart Disease,397
1982,Heart Disease,389
1983,Heart Disease,388.9
1984,Heart Disease,378.8
1985,Heart Disease,375
1986,Heart Disease,365.1
1987,Heart Disease,355.9
1988,Heart Disease,352.5
1989,Heart Disease,332
1990,Heart Disease,321.8
1991,Heart Disease,313.8
1992,Heart Disease,306.1
1993,Heart Disease,309.9
1994,Heart Disease,299.7
1995,Heart Disease,296.3
1996,Heart Disease,288.3
1997,Heart Disease,280.4
1998,Heart Disease,272.4
1900,Influenza and Pneumonia,297.5
1901,Influenza and Pneumonia,312.9
1902,Influenza and Pneumonia,219.3
1903,Influenza and Pneumonia,251.1
1904,Influenza and Pneumonia,291.2
1905,Influenza and Pneumonia,257.8
1906,Influenza and Pneumonia,222.5
1907,Influenza and Pneumonia,285.4
1908,Influenza and Pneumonia,234.6
1909,Influenza and Pneumonia,221.2
1910,Influenza and Pneumonia,238.4
1911,Influenza and Pneumonia,234.1
1912,Influenza and Pneumonia,213.7
1913,Influenza and Pneumonia,214.8
1914,Influenza and Pneumonia,202.4
1915,Influenza and Pneumonia,238.1
1916,Influenza and Pneumonia,278.5
1917,Influenza and Pneumonia,267
1918,Influenza and Pneumonia,612.4
1919,Influenza and Pneumonia,270.9
1920,Influenza and Pneumonia,279.2
1921,Influenza and Pneumonia,153.1
1922,Influenza and Pneumonia,207.6
1923,Influenza and Pneumonia,253
1924,Influenza and Pneumonia,182
1925,Influenza and Pneumonia,198.1
1926,Influenza and Pneumonia,233
1927,Influenza and Pneumonia,164
1928,Influenza and Pneumonia,236.4
1929,Influenza and Pneumonia,247.5
1930,Influenza and Pneumonia,159.8
1931,Influenza and Pneumonia,170.2
1932,Influenza and Pneumonia,180
1933,Influenza and Pneumonia,156.5
1934,Influenza and Pneumonia,152.9
1935,Influenza and Pneumonia,163.8
1936,Influenza and Pneumonia,186.7
1937,Influenza and Pneumonia,181.8
1938,Influenza and Pneumonia,124.3
1939,Influenza and Pneumonia,124.4
1940,Influenza and Pneumonia,117.6
1941,Influenza and Pneumonia,104.6
1942,Influenza and Pneumonia,84.7
1943,Influenza and Pneumonia,101.7
1944,Influenza and Pneumonia,94.7
1945,Influenza and Pneumonia,74.9
1946,Influenza and Pneumonia,69.9
1947,Influenza and Pneumonia,65.9
1948,Influenza and Pneumonia,58
1949,Influenza and Pneumonia,45.1
1950,Influenza and Pneumonia,48.1
1951,Influenza and Pneumonia,47.4
1952,Influenza and Pneumonia,43.1
1953,Influenza and Pneumonia,49.2
1954,Influenza and Pneumonia,36.2
1955,Influenza and Pneumonia,39.2
1956,Influenza and Pneumonia,40.8
1957,Influenza and Pneumonia,50.3
1958,Influenza and Pneumonia,47.4
1959,Influenza and Pneumonia,44.3
1960,Influenza and Pneumonia,53.7
1961,Influenza and Pneumonia,43.4
1962,Influenza and Pneumonia,47.1
1963,Influenza and Pneumonia,55.6
1964,Influenza and Pneumonia,45.4
1965,Influenza and Pneumonia,46.8
1966,Influenza and Pneumonia,47.9
1967,Influenza and Pneumonia,42.2
1968,Influenza and Pneumonia,52.8
1969,Influenza and Pneumonia,47.9
1970,Influenza and Pneumonia,41.7
1971,Influenza and Pneumonia,38.4
1972,Influenza and Pneumonia,41.3
1973,Influenza and Pneumonia,41.2
1974,Influenza and Pneumonia,35.5
1975,Influenza and Pneumonia,34.9
1976,Influenza and Pneumonia,38.8
1977,Influenza and Pneumonia,31
1978,Influenza and Pneumonia,34.5
1979,Influenza and Pneumonia,26.1
1980,Influenza and Pneumonia,31.4
1981,Influenza and Pneumonia,30
1982,Influenza and Pneumonia,26.5
1983,Influenza and Pneumonia,29.8
1984,Influenza and Pneumonia,30.6
1985,Influenza and Pneumonia,34.5
1986,Influenza and Pneumonia,34.8
1987,Influenza and Pneumonia,33.8
1988,Influenza and Pneumonia,37.3
1989,Influenza and Pneumonia,35.9
1990,Influenza and Pneumonia,36.8
1991,Influenza and Pneumonia,34.9
1992,Influenza and Pneumonia,33.1
1993,Influenza and Pneumonia,35.2
1994,Influenza and Pneumonia,33.9
1995,Influenza and Pneumonia,33.8
1996,Influenza and Pneumonia,33.2
1997,Influenza and Pneumonia,33.6
1998,Influenza and Pneumonia,34.6
1900,Stroke,244.2
1901,Stroke,243.6
1902,Stroke,237.8
1903,Stroke,244.6
1904,Stroke,255.2
1905,Stroke,247.3
1906,Stroke,245.9
1907,Stroke,261.8
1908,Stroke,239
1909,Stroke,237.5
1910,Stroke,238.5
1911,Stroke,230.2
1912,Stroke,228.7
1913,Stroke,226.9
1914,Stroke,231.3
1915,Stroke,234.5
1916,Stroke,235.7
1917,Stroke,238.2
1918,Stroke,228
1919,Stroke,225.6
1920,Stroke,238.5
1921,Stroke,230.1
1922,Stroke,238.9
1923,Stroke,245.6
1924,Stroke,246.4
1925,Stroke,227.9
1926,Stroke,228.2
1927,Stroke,216.3
1928,Stroke,223.4
1929,Stroke,213.3
1930,Stroke,203.9
1931,Stroke,195
1932,Stroke,194.4
1933,Stroke,185
1934,Stroke,184.5
1935,Stroke,181.2
1936,Stroke,189.8
1937,Stroke,176.6
1938,Stroke,171.4
1939,Stroke,173.2
1940,Stroke,177.2
1941,Stroke,169.4
1942,Stroke,166.8
1943,Stroke,173.3
1944,Stroke,164.4
1945,Stroke,166.7
1946,Stroke,158.8
1947,Stroke,161.3
